Date,Close,High,Low,Open,Volume,SMA20,SMA50,Signal,Position,Returns,Strategy_Returns,Equity,Buy_Hold
2021-06-16,15767.5498046875,15880.849609375,15742.599609375,15847.5,340200,15538.48740234375,15021.81693359375,1,1.0,-0.006408632752808119,-0.006408632752808119,1.0388143503085845,1.1247672578869001
2021-06-17,15691.400390625,15769.349609375,15616.75,15648.2998046875,357600,15577.754931640626,15042.8889453125,1,1.0,-0.0048295020472909345,-0.0048295020472909345,1.033797394277014,1.1193351921122094
2021-06-18,15683.349609375,15761.5,15450.900390625,15756.5,640800,15603.157421875,15062.8859375,1,1.0,-0.000513069646403852,-0.000513069646403852,1.0332669842134792,1.118760895200985
2021-06-21,15746.5,15765.150390625,15505.650390625,15525.849609375,351500,15630.597412109375,15081.43494140625,1,1.0,0.004026588209654625,0.004026588209654625,1.0374275248695386,1.123265684631024
2021-06-22,15772.75,15895.75,15752.099609375,15840.5,322200,15658.81240234375,15099.4139453125,1,1.0,0.0016670371193598932,0.0016670371193598932,1.0391569550621418,1.1251382102222072
2021-06-23,15686.9501953125,15862.9501953125,15673.9501953125,15862.7998046875,287500,15678.08740234375,15116.45595703125,1,1.0,-0.005439749231269109,-0.005439749231269109,1.0335042018146745,1.1190177405080795
2021-06-24,15790.4501953125,15821.400390625,15702.7001953125,15737.2998046875,316700,15700.717431640625,15146.04896484375,1,1.0,0.006597840798329813,0.006597840798329813,1.0403230980026525,1.1264008414104585
2021-06-25,15860.349609375,15870.7998046875,15772.2998046875,15839.349609375,314600,15721.952392578125,15173.1599609375,1,1.0,0.0044266891189239654,0.0044266891189239654,1.0449282849407462,1.131387067758677
2021-06-28,15814.7001953125,15915.650390625,15792.150390625,15915.349609375,255100,15733.547412109376,15197.8249609375,1,1.0,-0.0028782098242977616,-0.0028782098242977616,1.041920762085343,1.1281306983851707
2021-06-29,15748.4501953125,15835.900390625,15724.0498046875,15807.5,360300,15742.22744140625,15220.43697265625,1,1.0,-0.0041891404314852165,-0.0041891404314852165,1.0375560096944874,1.1234048004645656
2021-06-30,15721.5,15839.099609375,15708.75,15776.900390625,262400,15749.492431640625,15247.67796875,1,1.0,-0.0017112919035373597,-0.0017112919035373597,1.0357804484956306,1.1214823269251355
2021-07-01,15680.0,15755.5498046875,15667.0498046875,15755.0498046875,224900,15748.974951171875,15275.3499609375,1,1.0,-0.002639697229908089,-0.002639697229908089,1.0330463017149436,1.1185219531333603
2021-07-02,15722.2001953125,15738.349609375,15635.9501953125,15705.849609375,254800,15751.5724609375,15301.67095703125,1,1.0,0.002691338986766656,0.002691338986766656,1.0358265795018842,1.1215322748733825
2021-07-05,15834.349609375,15845.9501953125,15762.0498046875,15793.400390625,207000,15755.707421875,15331.53095703125,1,1.0,0.007133188273225066,0.007133188273225066,1.043215325511882,1.1295323757445528
2021-07-06,15818.25,15914.2001953125,15801.0,15813.75,391400,15759.61494140625,15358.19595703125,1,1.0,-0.0010167521731027085,-0.0010167521731027085,1.0421546340626537,1.1283839212469247
2021-07-07,15879.650390625,15893.5498046875,15779.7001953125,15819.599609375,329300,15771.82998046875,15382.72796875,1,1.0,0.0038816171589777237,0.0038816171589777237,1.0461998793725396,1.1327638756375513
2021-07-08,15727.900390625,15885.75,15682.900390625,15855.400390625,307900,15771.3375,15399.99498046875,1,1.0,-0.0095562557277451,-0.0095562557277451,1.0362021257829195,1.1219388943628072
2021-07-09,15689.7998046875,15730.849609375,15632.75,15688.25,243200,15765.860009765625,15415.89296875,1,1.0,-0.0024224839292732447,-0.0024224839292732447,1.0336919427857316,1.1192210154215867
2021-07-12,15692.599609375,15789.2001953125,15644.75,15766.7998046875,216300,15759.897509765626,15437.12296875,1,1.0,0.00017844744498685117,0.00017844744498685117,1.0338764024718252,1.1194207375521643
2021-07-13,15812.349609375,15820.7998046875,15744.599609375,15794.0,246700,15757.052490234375,15460.686953125,1,1.0,0.007630985495128417,0.007630985495128417,1.0417658983028433,1.1279630209633709
2021-07-14,15853.9501953125,15877.349609375,15764.2001953125,15808.7001953125,0,15761.372509765624,15487.83595703125,1,1.0,0.0026308921169333477,0.0026308921169333477,1.0445066719923781,1.1309305699834158
2021-07-15,15924.2001953125,15952.349609375,15855.0,15872.150390625,284900,15773.0125,15513.96296875,1,1.0,0.004431072328003882,0.004431072328003882,1.049134956603059,1.135941805136963
2021-07-16,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,15785.0150390625,15537.93498046875,1,1.0,-5.0225736783704455e-05,-5.0225736783704455e-05,1.0490822630268781,1.1358847516228565
2021-07-19,15752.400390625,15836.900390625,15707.5,15754.5,242100,15785.31005859375,15556.51998046875,1,1.0,-0.010738912280361723,-0.010738912280361723,1.037816260629349,1.1236865849145783
2021-07-20,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,15778.2775390625,15570.31498046875,1,1.0,-0.0076369809214345,-0.0076369809214345,1.0298904776469682,1.1151050119039139
2021-07-22,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,15785.13251953125,15589.7809765625,1,1.0,0.012279233123449584,0.012279233123449584,1.042536742913616,1.1287976463022091
2021-07-23,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,15788.4125,15612.97197265625,1,1.0,0.002022238326785386,0.002022238326785386,1.044645000672218,1.1310803441657467
2021-07-26,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,15786.617529296875,15635.90498046875,1,1.0,-0.0019929055322251976,-0.0019929055322251976,1.042563121871167,1.1288262078904676
2021-07-27,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,15783.205029296874,15652.3709765625,1,1.0,-0.004929081202650898,-0.004929081202650898,1.0374242435845749,1.123262131848095
2021-07-28,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,15781.2525390625,15664.3969921875,1,1.0,-0.002352898858342667,-0.002352898858342667,1.0349832892662276,1.1206192096604501
2021-07-29,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,15784.100048828124,15679.36298828125,1,1.0,0.004395444954646832,0.004395444954646832,1.0395325013431767,1.1255448297116324
2021-07-30,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,15788.2525390625,15696.50298828125,1,1.0,-0.000976039499086867,-0.000976039499086867,1.0385178765612813,1.1244462534998407
2021-08-02,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,15796.400048828125,15710.7,1,1.0,0.007746000136419795,0.007746000136419795,1.0465622361747993,1.1331562143328473
2021-08-03,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,15811.220068359375,15729.36099609375,1,1.0,0.015460955882416139,0.015460955882416139,1.0627430887365006,1.1506758925705332
